,message,answers
10,I can't believe they charge extra for dipping sauces! Ridiculous.;,"
I'm not sure if I'm supposed to be a fan of the new season of The Walking Dead, but I'm really enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new season. I'm not a fan of the old season, but I'm enjoying the new"
11,This delivery service always seems to forget drinks in my orders.;,"
The delivery service is very good, but I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it.
I'm not sure if it's the best way to do it."
12,The 'live tracking' feature barely works. It's impossible to see where my food is.;,"
The 'live tracking' feature barely works. It's impossible to see where my food is.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the 'live tracking' feature to work.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the 'live tracking' feature to work. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the 'live tracking' feature to work. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the 'live tracking' feature to work. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the 'live tracking' feature to work. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the 'live tracking' feature to work"
13,I never seem to get enough delivery drivers in my area. Long wait times every time!;,"
I'm not sure if you've noticed, but I've been getting a lot of calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to their homes. I've been getting calls from people who are trying to get their drivers to come to"
14,"Ugh, the food is cold and soggy. This delivery took way too long.;","
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery.
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery.
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery.
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery.
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery.
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery.
The delivery was a bit of a mess, but it was a good one. The food was cold and soggy, but it was a good delivery."
15,The portions are tiny for the price! Not worth the money at all.;,"
The only thing I would change is the color of the background. It looks like a dark grey.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the background to show up.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the background to show up. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the background to show up. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the background to show up. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the background to show up. I'm not sure if this is a bug or a feature request, but I'm not sure how to get the background to show up. I'm not sure if this is a bug or a feature request, but I'm not sure how to"
16,This app is so confusing to navigate. It takes forever to find what I'm looking for.;,"
The app is a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's not terrible. It's just a bit of a mess. It's not a great app, but it's"
17,I can't believe they don't offer any customer service support on holidays.;,"
The only thing I can think of is that they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people to use their service.
I'm not sure if they're trying to make it as easy as possible for people"
18,The food arrived completely spilled because the packaging was terrible.;,"
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
The food was not properly packaged and the packaging was not even properly sealed.
"
19,This delivery service keeps recommending restaurants that are way outside my delivery zone.;,"
The delivery service is a great way to get a meal to someone in need.
The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service is a great way to get a meal to someone in need. The delivery service"
20,The 'contact us' section on the app is a joke. There's no way to get a real person.;,"
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the app is a joke. There's no way to get a real person.
The 'contact us' section on the"
21,"I keep getting notifications about restaurants with high delivery fees, it's annoying!","
I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with high delivery fees.
I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with high delivery fees. I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with high delivery fees.
I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with high delivery fees. I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with high delivery fees.
I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with high delivery fees. I'm not sure if this is a bug or a feature request, but I'm not getting any notifications for restaurants with"
22,The delivery drivers never seem to follow my specific delivery instructions.;,"
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my specific delivery instructions.
The delivery drivers never seem to follow my"
23,There are way too many hidden fees on this app. The total cost is always a surprise.;,"
The app is not available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada, and New Zealand.
The app is available in the US, but it is available in the UK, Australia, Canada,"
24,"I used to love this service, but lately the food quality has gone way down.;","
The food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you"
25,"I ordered a burger with no pickles, and guess what? It's covered in pickles!","
The burger is a great example of how to use the pickle to make a great burger. The pickles are a great way to add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger, and the pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger.
The pickles add a little bit of crunch to the burger.
The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch"
26,There's no way to leave specific instructions for the restaurant through the app.;,"
The restaurant is located at 1111 11th Street, San Francisco, CA 94103.
The restaurant is open from 11:00am to 11:00pm.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends."
27,This delivery service never seems to have any good deals or coupons available.;,"
The delivery service is very good at their job, and I have been using them for years. I have never had a problem with them.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very"
28,I can't believe they canceled my order without even notifying me first!;,"
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post"
29,"The food description on the app sounds amazing, but it tastes completely different.;","
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app"
30,"The app keeps prompting me to rate the driver before my food even arrives, weird.;","
The app keeps prompting me to rate the driver before my food even arrives, weird.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not"
31,They keep asking me to tip the driver before the delivery is even complete.;,"
The driver is a 20-year-old man from the Philippines. He is a driver for a company called ""Pinoy Trucking"" and he is a very good driver. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is"
32,I never seem to get enough delivery drivers in my area on weekends.;,"
The driver is a 20-year-old man from the Bronx, NY. He is a driver for a company called ""Delivery Dogs NYC."" He is a very nice guy, and I have been very impressed with him. He is very friendly and helpful. He is a very good driver. He is very patient and very helpful. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the"
33,There's no way to split the bill with friends when ordering through the app.;,"
The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car.
The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car.
The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a"
34,The 'customer support chat' feature is useless. It takes forever to get a response.;,"
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to"
35,I'm tired of getting spam emails and notifications from this delivery service.;,"
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired"
36,"The app keeps asking me to update my payment information, even though it's correct.;","
The app keeps asking me to update my payment information, even though it's correct.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update"
37,They never seem to have my favorite drinks in stock at the restaurants they offer.;,"
Their drinks are always good, but I'm not sure I've ever had a good one. I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had"
38,"The delivery fee is more expensive than the actual cost of my food, come on!;","
The delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this,"
39,I can't believe they charge extra for contactless delivery during a pandemic.;,"
The company has also been working on a new way to deliver food to customers, which is called ""Food Delivery in a Box."" The company is working with a delivery service called ""Food Delivery in a Box"" to deliver food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery"
40,The app keeps logging me out for no reason. It's so frustrating!;,"
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the"
41,"There's no way to filter restaurants by cuisine on this app, makes it hard to choose.;","
The app is free to download and use, but it's not a free app. It's a paid app, and it's not free.
The app is free to download and use, but it's not a free app. It's a paid app, and it's not free.
The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app"
42,I never seem to get enough delivery drivers in my area late at night.;,"
The driver is a 20-year-old man from the Bronx, NY. He is a driver for a company called ""Delivery Dogs."" He is a very nice guy, but he is also very rude to the drivers. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude"
43,The 'estimated delivery time' feature is always wildly inaccurate.;,"
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly in"
44,This app is constantly glitching and crashing. Needs a major update!;,"
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of"
45,The food arrived completely undercooked! This is a health hazard!;,"
The food was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all"
